name,nr_pos,nr_neg,swn_c
2002,3405.201,2143.424,51402
2003,3685.502,2226.623,53252
2001,3042.814,2195.936,49500
2000,3285.944,2265.306,51458
2004,3337.229,2323.771,49537
2005,3578.879,2353.246,52286
2007,8304.829,5641.546,123201
2006,3438.681,2233.569,50244
1959,6484.031,3913.594,93491
1971,6870.431,4842.819,104658
1965,6116.47,4030.405,93806
1964,6373.726,4129.899,94163
1970,13219.521,10059.479,205442
1958,6352.856,3828.769,89529
1999,4120.362,2637.763,63475
1966,5478.961,3974.414,85644
1972,6461.954,4406.296,98950
1973,3290.075,2392.8,48852
1967,5815.947,4225.053,88897
1998,4490.98,2786.02,67691
1988,6569.058,4516.442,103903
1963,6187.105,4226.27,91883
1977,7566.917,5712.583,116381
1976,9642.335,7241.665,148299
1962,6444.973,4388.777,95140
1989,6559.546,4537.954,100347
1974,6847.004,5250.621,103795
1960,6386.352,3853.898,91807
1961,6467.164,3894.211,90013
1975,10188.862,7599.138,158333
1993,6445.737,4398.388,100108
1987,6533.648,4427.602,100488
1978,5163.827,3950.423,82010
1950,8355.953,5850.047,126393
1951,8438.421,5808.454,124472
1979,5672.121,4246.004,90956
1986,6433.794,4291.206,100358
1992,6329.911,4476.589,100056
1984,6819.251,4539.749,102778
1990,6867.195,4881.555,111329
1953,7951.411,5095.214,115230
1952,8226.581,5209.544,120632
1991,6569.515,4582.61,103222
1985,6660.953,4426.047,103543
1981,6088.427,4816.073,98121
1995,6550.186,4582.189,105101
1956,7054.349,4758.901,104129
1957,6148.517,4172.608,89859
1994,5954.241,4278.384,96239
1980,5751.41,4329.59,91401
1996,6654.97,4421.905,106404
1982,7106.46,4955.415,110445
1955,6881.326,4197.424,100693
1969,5962.527,4032.848,89544
1968,6003.635,4097.865,88440
1954,7103.579,4411.421,102008
1983,6760.637,4521.113,105905
1997,4751.185,3022.565,73616
1935,7302.495,4570.255,108044
